State,City name/ Municipality,Covenant of Mayors,Population 2010 Municipio INEGI 2010,population 2010 LOG10,Join Year to GCoM ,Adult Population with a Bachelor’s Degree 2010. INEGI 2010,% of Adult Population with a Bachelor’s Degree,% of Population in Poverty 2010. Source: CONEVAL 2010,Number of Public Universities in the City/Municipality,Number of Universities in the State 2010. INEGI 2010,Cities with Climate Protests,"Social Associations and Organizations; 1 = Yes, 0 = No",Number of Social Associations and Organizations per Municipality,"Social Associations and Organizations; 0 = International, 1 = Local"
Sonora,Agua Prieta,0,79138,4.89838507,N/A,15777,0,46.17537,3,0,0,0,0,0
Sonora,Huatabampo,0,79313,4.899344377,N/A,18122,0,52.71576,2,0,0,0,0,0
Sonora,Caborca,0,81309,4.91013862,N/A,17447,0,38.69288,2,0,0,0,0,0
Sonora,Navojoa,0,157729,5.19791155,N/A,41899,0,34.81539,9,0,0,0,0,0
Sonora,San Luis Río Colorado,0,178380,5.25134616,N/A,38085,0,38.75765,6,0,0,0,0,0
Sonora,Nogales,0,220292,5.342998726,N/A,55653,0,34.09623,9,0,0,0,0,0
Sonora,Cajeme,0,409310,5.612052355,N/A,129044,0,26.57808,19,0,2,0,0,0
Sonora,Cajeme,0,409310,5.612052355,N/A,129044,0,26.57808,19,0,0,0,0,0
Tabasco,Teapa,1,53555,4.728800024,2018,9695,0,58.99716,2,0,0,0,0,0
Tabasco,Tenosique,0,58960,4.770557475,N/A,10167,0,69.67139,1,0,0,0,0,0
Tabasco,Paraíso,0,86620,4.937618179,N/A,19514,0,63.27537,2,0,0,0,0,0
Tabasco,Macuspana,0,153132,5.185065955,N/A,31683,0,68.21808,1,0,0,0,0,0
Tabasco,Huimanguillo,0,179285,5.253543956,N/A,24610,0,69.88295,2,0,0,0,0,0
Tabasco,Comalcalco,0,192802,5.285111535,N/A,34547,0,66.11244,1,0,0,0,0,0
Tabasco,Cárdenas,0,248481,5.395293186,N/A,44217,0,65.2897,5,0,0,0,0,0
Tamaulipas,Victoria,1,321953,5.507792476,2018,115085,0,24.7027,16,0,3,0,0,0
Tamaulipas,San Fernando,0,57220,4.757547853,N/A,8856,0,60.43235,1,0,0,0,0,0
Tamaulipas,Valle Hermoso,0,63170,4.800510877,N/A,12638,0,49.87142,4,0,0,0,0,0
Tamaulipas,El Mante,0,115792,5.063678555,N/A,29747,0,38.66065,3,0,0,0,0,0
Tamaulipas,Nuevo Laredo,0,384033,5.584368545,N/A,82873,0,37.57028,11,0,0,0,0,0
Tamaulipas,Matamoros,0,489193,5.689480234,N/A,114844,0,37.00278,19,0,0,0,0,0
Tamaulipas,Reynosa,0,608891,5.784539555,N/A,139367,0,33.73339,29,0,1,0,0,0
Tamaulipas ,Tampico,1,297554,5.473565793,2018,113030,0,27.35123,23,0,2,0,0,0
Tlaxcala,Huamantla,1,84979,4.929311616,2018,14889,0,64.74004,0,0,0,0,0,0
Tlaxcala,Tlaxco,1,39939,4.601397187,2023,4447,0,75.63555,1,0,0,0,0,0
Tlaxcala,Zacatelco,0,38654,4.587194442,N/A,8993,0,59.54699,1,0,1,0,0,0
Tlaxcala,Calpulalpan,0,44807,4.651345867,N/A,7709,0,62.00048,1,0,0,0,0,0
Tlaxcala,Apizaco,0,76492,4.883616016,N/A,24527,0,45.82055,2,0,0,0,0,0
Tlaxcala,Tlaxcala,0,89795,4.953252155,N/A,37055,0,31.71024,16,0,0,0,0,0
Veracruz de Ignacio de la Llave,Xico,1,35188,4.546394583,2018,4590,0,70.51934,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,Alvarado,1,51955,4.715627349,2018,11203,0,53.52237,3,0,0,0,0,0
Veracruz de Ignacio de la Llave,Coatepec,1,86696,4.93799906,2018,21977,0,48.51333,2,0,0,0,0,0
Veracruz de Ignacio de la Llave,Orizaba,1,120995,5.082767424,2018,45155,0,19.79147,12,0,3,0,0,0
Veracruz de Ignacio de la Llave,Mariano Escobedo,1,33941,4.530724634,2019,6384,0,65.90041,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,Nogales,1,34688,4.540179261,2019,8501,0,59.21425,1,0,0,0,0,0
Veracruz de Ignacio de la Llave,Río Blanco,1,40634,4.608889576,2019,13254,0,32.76837,1,0,0,0,0,0
Veracruz de Ignacio de la Llave,Coatzacoalcos,1,305260,5.4846699,2019,95627,0,34.5823,17,0,0,0,0,0
Veracruz de Ignacio de la Llave,La Antigua,0,25500,4.40654018,N/A,5704,0,42.26495,1,0,0,0,0,0
Veracruz de Ignacio de la Llave,Cuitláhuac,0,26265,4.419377405,N/A,4036,0,57.27413,1,0,1,0,0,0
Veracruz de Ignacio de la Llave,Jalacingo,0,40747,4.610095639,N/A,2392,0,85.86918,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,Isla,0,42205,4.625363905,N/A,5693,0,65.09489,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,Tres Valles,0,45095,4.654128391,N/A,6850,0,60.39606,1,0,1,0,0,0
Veracruz de Ignacio de la Llave,Agua Dulce,0,46010,4.662852233,N/A,10730,0,54.43521,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,Catemaco,0,48593,4.686573712,N/A,7569,0,64.52778,0,0,1,0,0,0
Veracruz de Ignacio de la Llave,Huatusco,0,54561,4.736882322,N/A,8722,0,69.87712,3,0,0,0,0,0
Veracruz de Ignacio de la Llave,Pueblo Viejo,0,55358,4.743180391,N/A,9632,0,60.71286,0,0,1,0,0,0
Veracruz de Ignacio de la Llave,Cosamaloapan de Carpio,0,57366,4.758654569,N/A,12460,0,47.7065,3,0,1,0,0,0
Veracruz de Ignacio de la Llave,Tlapacoyan,0,58084,4.764056517,N/A,7883,0,77.50137,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,Emiliano Zapata,0,61718,4.790411844,N/A,14591,0,37.10194,1,0,1,0,0,0
Veracruz de Ignacio de la Llave,Misantla,0,62919,4.798781812,N/A,11542,0,70.14248,1,0,0,0,0,0
Veracruz de Ignacio de la Llave,Perote,0,68982,4.838735782,N/A,10525,0,66.59139,2,0,0,0,0,0
Veracruz de Ignacio de la Llave,Las Choapas,0,77426,4.888886823,N/A,9591,0,77.04487,1,0,0,0,0,0
Veracruz de Ignacio de la Llave,Acayucan,0,83817,4.923332112,N/A,17388,0,71.33107,3,0,0,0,0,0
Veracruz de Ignacio de la Llave,Tierra Blanca,0,94087,4.973529621,N/A,17115,0,53.84807,2,0,0,0,0,0
Veracruz de Ignacio de la Llave,Pánuco,0,97290,4.988068203,N/A,16564,0,56.68788,2,0,5,0,0,0
Veracruz de Ignacio de la Llave,Martínez de la Torre,0,101358,5.005858032,N/A,20795,0,56.87031,4,0,0,0,0,0
Veracruz de Ignacio de la Llave,Tantoyuca,0,101743,5.007504539,N/A,13801,0,77.04822,4,0,1,0,0,0
Veracruz de Ignacio de la Llave,Álamo Temapache,0,104499,5.019112134,N/A,16107,0,77.08473,1,0,0,0,0,0
Veracruz de Ignacio de la Llave,Boca del Río,0,138058,5.140061578,N/A,49971,0,32.3219,11,0,1,0,0,0
Veracruz de Ignacio de la Llave,Tuxpan,0,143362,5.156434051,N/A,36411,0,47.47918,7,0,0,0,0,0
Veracruz de Ignacio de la Llave,San Andrés Tuxtla,0,157364,5.196905386,N/A,20724,0,70.91614,5,0,2,0,0,0
Veracruz de Ignacio de la Llave,Minatitlán,0,157840,5.198217072,N/A,43087,0,41.76668,3,0,0,0,0,0
Veracruz de Ignacio de la Llave,Papantla,0,158599,5.200300445,N/A,28187,0,68.45997,2,0,2,0,0,0
Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,0,193311,5.286256567,N/A,67104,0,35.56928,11,0,1,0,0,0
Veracruz de Ignacio de la Llave,Córdoba,0,196541,5.293453161,N/A,54433,0,46.04192,8,0,1,0,0,0
Veracruz de Ignacio de la Llave,Xalapa,0,457928,5.660797199,N/A,164028,0,37.38124,41,0,7,1,1,1
Veracruz de Ignacio de la Llave,Veracruz,0,552156,5.742061796,N/A,177960,0,30.87148,30,0,7,0,0,0
Yucatan,Oxkutzcab,1,29325,4.467238021,2019,3076,0,72.91003,1,0,0,0,0,0
Yucatan,Ticul,1,37685,4.57616852,2019,7795,0,61.84041,2,0,0,0,0,0
Yucatan,Tekax,1,40547,4.607958727,2019,5451,0,68.76321,1,0,0,0,0,0
Yucatán,Mérida,1,830732,5.91946094,2013,294735,0,29.40243,53,0,7,1,5,1
Yucatán,Hunucmá,1,30731,4.487576693,2019,4249,0,68.96047,0,0,0,0,0,0
Yucatán,Umán,1,50993,4.707510563,2019,8784,0,50.32147,0,0,0,0,0,0
Yucatán,Progreso,1,53958,4.732055844,2019,12107,0,50.11301,1,0,0,0,0,0
Yucatán,Valladolid,1,74217,4.870503395,2019,13045,0,64.42851,4,0,3,0,0,0
Yucatán,Tizimín,0,73138,4.86414308,N/A,9491,0,70.22699,2,0,0,0,0,0
Zacatecas,Calera,0,39917,4.601157894,N/A,5713,0,65.60582,0,0,0,0,0,0
Zacatecas,Jerez,0,57610,4.760497875,N/A,10128,0,61.20669,3,0,0,0,0,0
Zacatecas,Río Grande,0,62693,4.797219052,N/A,9899,0,62.91376,0,0,0,0,0,0
Zacatecas,Zacatecas,0,138176,5.140432616,N/A,46869,0,29.54196,13,0,3,0,0,0
Zacatecas,Guadalupe,0,159991,5.204095553,N/A,48983,0,34.74917,5,0,0,0,0,0
Zacatecas,Fresnillo,0,213139,5.328662924,N/A,32293,0,56.09269,7,0,0,0,0,0
